"Callsign","Frequency","City","State","Licensee","Format"
"WKZD","1310 AM","Priceville","Alabama","Blanchard River Broadcasting Company","Country"
"WIJD","1270 AM","Prichard","Alabama","La Cadena Mundial Hispana, Inc.","Other"
"WLPR","960 AM","Prichard","Alabama","WLOH Radio Company","News and Talk"
"WGAD","930 AM","Rainbow City","Alabama","Capstar TX LLC","Rock, Alternative, or Indie"
"WVSM","1500 AM","Rainsville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRMG","1430 AM","Red Bay","Alabama","Nicolet Broadcasting, Inc.","Country"
"WBEI","101.7 FM","Reform","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WPPG","101.1 FM","Repton","Alabama","State of Wisconsin – Educational Communications Board","News and Talk"
"WLWE","1360 AM","Roanoke","Alabama","Citicasters Licenses, Inc.","Other"
"WELR-FM","102.3 FM","Roanoke","Alabama","Educational Media Foundation","Religious"
"WJNZ","1000 AM","Robertsdale","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WRFS","105.1 FM","Rockford","Alabama","Eau Claire Public Access Center, Inc.","Other"
"WYTK","93.9 FM","Rogersville","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WGOL","920 AM","Russellville","Alabama","Bible Broadcasting, Inc.","Religious"
"WKAX","1500 AM","Russellville","Alabama","Urban Radio Licenses, LLC","Pop or Contemporary"
"WPMR-LP","95.7 FM","Russellville","Alabama","Zoe Communications, Inc.","Country"
"WDLT-FM","104.1 FM","Saraland","Alabama","Delmar Communications, Inc.","Oldies"
"WWIC","1050 AM","Scottsboro","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZCT","1330 AM","Scottsboro","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WKEA-FM","98.3 FM","Scottsboro","Alabama","Citicasters Licenses, Inc.","Pop or Contemporary"
"WHBB","1490 AM","Selma","Alabama","Cincinnati Public Radio","News and Talk"
"WJAM","1340 AM","Selma","Alabama","Citicasters Licenses, Inc.","Country"
"WAPR","88.3 FM","Selma","Alabama","New Hampshire Gospel Radio, Inc.","Religious"
"WAQU","91.1 FM","Selma","Alabama","New Hampshire Gospel Radio, Inc.","Religious"
"WBFZ","105.3 FM","Selma","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WPJB-LP","93.3 FM","Selma","Alabama","Menomonie Christian Radio, Inc.","Religious"
"WRNF","89.5 FM","Selma","Alabama","Northland College","Other"
"WBTG","1290 AM","Sheffield","Alabama","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WAKD","89.9 FM","Sheffield","Alabama","LAZER BROADCASTING LLC","International"
"WBTG-FM","106.3 FM","Sheffield","Alabama","Town of Bedford, New Hampshire","Rock, Alternative, or Indie"
"WSHF-LP","92.3 FM","Sheffield","Alabama","Radio Plus Bay Cities, LLC","Pop or Contemporary"
"WMRK-FM","107.9 FM","Shorter","Alabama","Positive Radio Group, Inc. of Ohio","Other"
"WJRL-FM","100.5 FM","Slocomb","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WAGH","101.3 FM","Smiths","Alabama","LAZER BROADCASTING LLC","International"
"WKLS","105.9 FM","Southside","Alabama","Vernon R. Baldwin, Inc.","Religious"
"WWFA","102.7 FM","St. Florian","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAYU","91.1 FM","Steele","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WMXN-FM","101.7 FM","Stevenson","Alabama","Spryex Communications","Rock, Alternative, or Indie"
"WFXO","98.3 FM","Stewartville","Alabama","Capstar TX LLC","Rock, Alternative, or Indie"
"WKDG","1540 AM","Sumiton","Alabama","Citicasters Licenses, Inc.","Pop or Contemporary"
"WFEB","1340 AM","Sylacauga","Alabama","Lancaster Educational Broadcasting","Religious"
"WYEA","1290 AM","Sylacauga","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTDR-FM","92.7 FM","Talladega","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTLS","1300 AM","Tallassee","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTID","103.9 FM","Thomaston","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJDB","630 AM","Thomasville","Alabama","John Carroll University","Other"
"WDLG","90.1 FM","Thomasville","Alabama","D.A. Peterson, Inc.","Pop or Contemporary"
"WJDB-FM","95.5 FM","Thomasville","Alabama","John Carroll University","Other"
"WVNN-FM","92.5 FM","Trinity","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTBF","970 AM","Troy","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WAXU","91.1 FM","Troy","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WZHT","105.7 FM","Troy","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WQEN","103.7 FM","Trussville","Alabama","Case Communications LLC","Other"
"WACT","1420 AM","Tuscaloosa","Alabama","LAZER BROADCASTING LLC","International"
"WJRD","1150 AM","Tuscaloosa","Alabama","Blue Chip Broadcasting Licenses, Ltd.","Religious"
"WMXB","1280 AM","Tuscaloosa","Alabama","Spryex Communications","Rock, Alternative, or Indie"
"WTBC","1230 AM","Tuscaloosa","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTSK","790 AM","Tuscaloosa","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WMFT","88.9 FM","Tuscaloosa","Alabama","Muskingum College","Other"
"WTUS-LP","103.3 FM","Tuscaloosa","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WUAL-FM","91.5 FM","Tuscaloosa","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVUA-FM","90.7 FM","Tuscaloosa","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WVNA","1590 AM","Tuscumbia","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZZA","1410 AM","Tuscumbia","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WACQ","580 AM","Tuskegee","Alabama","LAZER BROADCASTING LLC","International"
"WQSI","95.9 FM","Tuskegee","Alabama","Capstar TX LLC","Country"
"WUBZ-LP","100.7 FM","Tuskegee","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WZZN","97.7 FM","Union Grove","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WTGZ","93.9 FM","Union Springs","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WRLD","95.3 FM","Valley","Alabama","Nicolet Broadcasting, Inc.","Pop or Contemporary"
"WQRX","870 AM","Valley Head","Alabama","Capstar TX LLC","Country"
"WVSA","1380 AM","Vernon","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WJEC","106.5 FM","Vernon","Alabama","Denny and Marge Hazen Ministries, Inc.","Religious"
"WBHK","98.7 FM","Warrior","Alabama","Winnipesaukee Radio Station, LLC","Other"
"WGZZ","94.3 FM","Waverly","Alabama","Cincinnati Public Radio","News and Talk"
"WKXM-FM","97.7 FM","Winfield","Alabama","Blanchard River Broadcasting Company","Country"
"WYLS","670 AM","York","Alabama","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"WSJA","91.3 FM","York","Alabama","Sheboygan Area School District","Other"
"WSLY","104.9 FM","York","Alabama","WPW Broadcasting, Inc.","Country"
"WHAL","1460 AM","Phenix City","Alabama/Columbus","Cincinnati Public Radio","News and Talk"
"KHKY","92.7 FM","Akiachak","Alaska","Covenant Network","Religious"
"KKET","95.9 FM","Allakaket","Alaska","Central Ozark Radio Network, Inc.","Country"
"KOAN","1080 AM","Anchorage","Alaska","Emmis Radio License, LLC","Pop or Contemporary"
"KTZN","550 AM","Anchorage","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KHRM-LP","94.1 FM","Anchorage","Alaska","Covenant Network","Religious"
"KLEF","98.1 FM","Anchorage","Alaska","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KMVN","105.7 FM","Anchorage","Alaska","Catholic Radio Network, Inc.","Religious"
"KMXS","103.1 FM","Anchorage","Alaska","Carthage Broadcasting Company, Inc.","Other"
"KNBA","90.3 FM","Anchorage","Alaska","Kanza, Inc.","Country"
"KONR-LP","104.9 FM","Anchorage","Alaska","MW Springmo, Inc.","Country"
"KRUA","88.1 FM","Anchorage","Alaska","Radio Free Ministries, Inc.","Religious"
"KSKA","91.1 FM","Anchorage","Alaska","Eagle Communications, Inc.","Country"
"KTMB","102.1 FM","Anchorage","Alaska","Benne Broadcasting of Versailles, LLC","Country"
"KWHL","106.5 FM","Anchorage","Alaska","Radio Training Network, Inc.","Religious"
"KYMG","98.9 FM","Anchorage","Alaska","Dockins Broadcast Group, LLC","Country"
"KMGS","89.5 FM","Anvik","Alaska","Educational Media Foundation","Religious"
"KYUK","640 AM","Bethel","Alaska","Educational Media Foundation","Religious"
"KJNR","91.9 FM","Bethel","Alaska","Cumulus Licensing LLC","Oldies"
"KYUK-FM","90.3 FM","Bethel","Alaska","Educational Media Foundation","Religious"
"KTDZ","103.9 FM","College","Alaska","Alpha Media Licensee LLC","Religious"
"KLAM","1450 AM","Cordova","Alaska","Alpha Media Licensee LLC","Rock, Alternative, or Indie"
"KIAO","90.3 FM","Delta Junction","Alaska","Gateway Creative Broadcasting, Inc.","Religious"
"KRUP","99.1 FM","Dillingham","Alaska","Radio Free Ministries, Inc.","Religious"
"KUBY-LP","101.7 FM","Dillingham","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KVNT","1020 AM","Eagle River","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KIAK-FM","102.5 FM","Fairbanks","Alaska","Gateway Creative Broadcasting, Inc.","Religious"
"KKED","104.7 FM","Fairbanks","Alaska","Central Ozark Radio Network, Inc.","Country"
"KRFF","89.1 FM","Fairbanks","Alaska","Dana R. Withers","Pop or Contemporary"
"KSUA","91.5 FM","Fairbanks","Alaska","Church of God in Christ, Inc.","Religious"
"KUAC","89.9 FM","Fairbanks","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KWDD","94.3 FM","Fairbanks","Alaska","LB Sports Productions LLC","Oldies"
"KWLF","98.1 FM","Fairbanks","Alaska","Anderson Broadcasting Company, Inc.","Country"
"KWRK-LP","90.9 FM","Fairbanks","Alaska","Kaspar Broadcasting Co of Missouri","Country"
"KXLR","95.9 FM","Fairbanks","Alaska","Townsquare Media Sedalia License, LLC","Country"
"KYSC","96.9 FM","Fairbanks","Alaska","Educational Media Foundation","Religious"
"KZVV","88.3 FM","Fairbanks","Alaska","LAZER BROADCASTING LLC","International"
"KIYU","910 AM","Galena","Alaska","Zimmer Radio, Inc.","Country"
"KIYU-FM","88.1 FM","Galena","Alaska","Zimmer Radio, Inc.","Country"
"KXES-LP","92.9 FM","Galena","Alaska","KXEO Radio, Inc.","Pop or Contemporary"
"KSVQ","89.3 FM","Gambell","Alaska","Church of God in Christ, Inc.","Religious"
"KXGA","90.5 FM","Glennallen","Alaska","Grand Slam Sports, LLC","News and Talk"
"KHNS","102.3 FM","Haines","Alaska","Townsquare Media Quincy-Hannibal License, LLC","News and Talk"
"KLOP","91.5 FM","Holy Cross","Alaska","Dockins Communications, Inc.","Rock, Alternative, or Indie"
"KMJG","88.9 FM","Homer","Alaska","Pollack Broadcasting Co.","Other"
"KWVV-FM","103.5 FM","Homer","Alaska","Washington University in St. Louis","Other"
"KHOO","90.7 FM","Hoonah","Alaska","Covenant Network","Religious"
"KJHA","88.7 FM","Houston","Alaska","Foxfire Communications, Inc.","Country"
"KXLW","96.3 FM","Houston","Alaska","Townsquare Media Sedalia License, LLC","Country"
"KZND-FM","94.7 FM","Houston","Alaska","Ruby Radio Corporation","News and Talk"
"KHUU","97.1 FM","Hughes","Alaska","My Town Media Inc.","Country"
"KHUS","98.1 FM","Huslia","Alaska","My Town Media Inc.","Country"
"KHYG-FM","91.1 FM","Hydaburg","Alaska","My Town Media Inc.","Country"
"KINY","800 AM","Juneau","Alaska","Alpha Media Licensee LLC","Other"
"KJNO","630 AM","Juneau","Alaska","Cumulus Licensing LLC","Oldies"
"KXXJ","1330 AM","Juneau","Alaska","Clear Channel Broadcasting Licenses, Inc.","Rock, Alternative, or Indie"
"KLSF","89.7 FM","Juneau","Alaska","MRR License LLC","Other"
"KNGW","88.9 FM","Juneau","Alaska","Sky High Broadcasting Corporation","Religious"
"KQQJ","90.7 FM","Juneau","Alaska","Catholic Radio Network, Inc.","Religious"
"KRNN","102.7 FM","Juneau","Alaska","Viper Communications, Inc.","News and Talk"
"KSUP","106.3 FM","Juneau","Alaska","Church of God in Christ, Inc.","Religious"
"KTKU","105.1 FM","Juneau","Alaska","Benne Broadcasting of Versailles, LLC","Country"
"KTOO","104.3 FM","Juneau","Alaska","Dockins Broadcast Group, LLC","Oldies"
"KXLL","100.7 FM","Juneau","Alaska","Townsquare Media Sedalia License, LLC","Country"
"KWJG","91.5 FM","Kasilof","Alaska","William Jewell College","Religious"
"KOGJ","88.1 FM","Kenai","Alaska","Eagle Bluff Enterprises","Country"
"KWHQ-FM","100.1 FM","Kenai","Alaska","Radio Training Network, Inc.","Religious"
"KTKN","930 AM","Ketchikan","Alaska","Alpha Media Licensee LLC","Country"
"KRBD","105.3 FM","Ketchikan","Alaska","Computraffic, Inc.","Other"
"KIAN","91.9 FM","Kiana","Alaska","Gateway Creative Broadcasting, Inc.","Religious"
"KQVK","91.9 FM","Kivalina","Alaska","Benne Broadcasting Co. of Lake Ozark, Inc.","Oldies"
"KVOK","560 AM","Kodiak","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KMXT","100.1 FM","Kodiak","Alaska","Carthage Broadcasting Company, Inc.","Other"
"KODK","90.7 FM","Kodiak","Alaska","Educational Media Foundation","Religious"
"KRXX","101.1 FM","Kodiak","Alaska","KIRX Incorporated","Rock, Alternative, or Indie"
"KINU","89.9 FM","Kotzebue","Alaska","Alpha Media Licensee LLC","Other"
"KXKM","89.7 FM","McCarthy","Alaska","Grand Slam Sports, LLC","News and Talk"
"KOGB","91.3 FM","McGrath","Alaska","Eagle Bluff Enterprises","Country"
"KSKO-FM","89.5 FM","McGrath","Alaska","Eagle Communications, Inc.","Country"
"KYMR-FM","88.9 FM","Metlakatla","Alaska","Spanish Peaks Broadcasting, Inc.","Religious"
"KNAK-LP","97.1 FM","Naknek","Alaska","Kanza, Inc.","Country"
"KIAM","630 AM","Nenana","Alaska","Gateway Creative Broadcasting, Inc.","Religious"
"KXBA","93.3 FM","Nikiski","Alaska","My Town Media Inc.","Rock, Alternative, or Indie"
"KUUK","91.9 FM","Noatak","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KICY","850 AM","Nome","Alaska","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KNOM","780 AM","Nome","Alaska","Harbit Communications, Inc.","Country"
"KICY-FM","100.3 FM","Nome","Alaska","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KNOM-FM","96.1 FM","Nome","Alaska","Harbit Communications, Inc.","Country"
"KQQN","89.3 FM","Nome","Alaska","Catholic Radio Network, Inc.","Religious"
"KORI","91.9 FM","Noorvik","Alaska","Cumulus Licensing LLC","Pop or Contemporary"
"KIAM-FM","91.9 FM","North Nenana","Alaska","Gateway Creative Broadcasting, Inc.","Religious"
"KJNP","1170 AM","North Pole","Alaska","Cumulus Licensing LLC","Oldies"
"KJNP-FM","100.3 FM","North Pole","Alaska","Cumulus Licensing LLC","Oldies"
"KNUL","99.1 FM","Nulato","Alaska","Emmis Radio License, LLC","Pop or Contemporary"
"KJLP","88.9 FM","Palmer","Alaska","Believers Broadcasting Corporation","Religious"
"KNLT","95.5 FM","Palmer","Alaska","New Life Evangelistic Center, Inc.","Religious"
"KZNR","91.1 FM","Red Dog Mine","Alaska","Ruby Radio Corporation","News and Talk"
"KZNC","91.9 FM","Red Dog Mine Port","Alaska","Ruby Radio Corporation","News and Talk"
"KRBY","98.1 FM","Ruby","Alaska","Computraffic, Inc.","Other"
"KSYU","98.1 FM","Saint Marys","Alaska","Zimmer Radio Group","Pop or Contemporary"
"KUHB-FM","91.9 FM","Saint Paul","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KSDP","830 AM","Sand Point","Alaska","Townsquare Media Sedalia License, LLC","Other"
"KYUP","91.9 FM","Scammon Bay","Alaska","Educational Media Foundation","Religious"
"KIEA","91.9 FM","Selawik","Alaska","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KSEW","950 AM","Seward","Alaska","Board of Regents, Southeast Missouri State University","News and Talk"
"KIBH-FM","91.7 FM","Seward","Alaska","Gateway Creative Broadcasting, Inc.","Religious"
"KSVJ","90.7 FM","Seward","Alaska","Church of God in Christ, Inc.","Religious"
"KNKO","88.5 FM","Shageluk","Alaska","Nodaway Broadcasting Corporation","Rock, Alternative, or Indie"
"KHGQ","101.7 FM","Shungnak","Alaska","Flat Foot Media, Inc.","Religious"
"KIFW","1230 AM","Sitka","Alaska","Townsquare Media Quincy-Hannnibal License, LLC","Country"
"KQQS","89.3 FM","Sitka","Alaska","Catholic Radio Network, Inc.","Religious"
"KSBZ","103.1 FM","Sitka","Alaska","Bragg Broadcasting Corporation","News and Talk"
"KSLD","1140 AM","Soldotna","Alaska","Eagle Communications, Inc.","Country"
"KSRM","920 AM","Soldotna","Alaska","Educational Media Foundation","Religious"
"KKIS-FM","96.5 FM","Soldotna","Alaska","Carol Wheeler","Rock, Alternative, or Indie"
"KPEN-FM","101.7 FM","Soldotna","Alaska","Community Broadcasting, Inc.","Religious"
"KKNI-FM","105.3 FM","Sterling","Alaska","MRR License LLC","Country"
"KVRF","89.5 FM","Sutton","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KTNA","88.9 FM","Talkeetna","Alaska","Pollack Broadcasting Co.","Country"
"KTYU","99.1 FM","Tanana","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KUDU","91.9 FM","Tok","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KNSA","930 AM","Unalakleet","Alaska","Emmis Radio License, LLC","Pop or Contemporary"
"KUCB","89.7 FM","Unalaska","Alaska","Zimmer Radio of Mid-Missouri, Inc.","Pop or Contemporary"
"KVAK","1230 AM","Valdez","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KVAK-FM","93.3 FM","Valdez","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KVHZ","1430 AM","Wasilla","Alaska","Central Ozark Radio Network, Inc.","Pop or Contemporary"
"KMBQ-FM","99.7 FM","Wasilla","Alaska","Bates County Broadcasting Company","Country"
"KSTK","101.7 FM","Wrangell","Alaska","Zimmer Radio of Mid-Missouri, Inc.","News and Talk"
"KWRG-LP","99.9 FM","Wrangell","Alaska","Kaspar Broadcasting Co of Missouri","Country"
"WVUV-FM","103.1 FM","Fagaitua","American Samoa","Legend Communications of Wyoming, LLC","Pop or Contemporary"
"KULA-LP","95.1 FM","Ili'ili","American Samoa","Missouri Ozarks Radio Network, Inc.","Country"
"KNWJ","104.7 FM","Leone","American Samoa","Emmis Radio License, LLC","Pop or Contemporary"
"KPPO","90.5 FM","Mapusaga","American Samoa","George S. Flinn, Jr.","Country"
"KMOA","89.7 FM","Nu'uuli","American Samoa","The Curators of the University of Missouri","Other"
"KKBT","88.9 FM","Pago Pago","American Samoa","Eagle Broadcasting, Inc.","Other"
"KKHJ-FM","93.1 FM","Pago Pago","American Samoa","Mid-Coast Radio Project, Inc.","Other"
"KSBS-FM","92.1 FM","Pago Pago","American Samoa","Bragg Broadcasting Corporation","News and Talk"
"KKAS-LP","94.5 FM","Tafuna","American Samoa","Twenty-One Sound Communications, Inc.","Rock, Alternative, or Indie"
"KIOE","91.3 FM","Utulei Village","American Samoa","Alpha Media Licensee LLC","Other"
"KIKO","1340 AM","Apache Junction","Arizona","Alpha Media Licensee LLC","Other"
